companyFullName,city,district,positionName,workYear,jobNature,salary,eduction,companySize,financeStage,industryField,positionAdvantage,positionLables,industryLables,companyLableList,jobDetail
﻿北京乐纯悠品商贸有限公司,北京,朝阳区,数据分析师,3-5年,全职,15k-25k,,150-500人,成熟型(C轮),"O2O,生活服务",扁平化 氛围好 七险一金 工作餐 空间大,"金融,大数据,BI,业务运营,sas","金融,大数据,BI,业务运营,sas","七险一金,免费午晚餐,电影票、奶票,扁平管理",
﻿海致网络技术(北京)有限公司,北京,海淀区,数据分析师,3-5年,全职,20K-40K,,150-500人,成熟型(C轮),"移动互联网,企业服务","成长空间,福利完善,高额奖金,期权股票",,,"股票期权,带薪年假,弹性工作,扁平管理",
﻿北京汉迪移动互联网科技股份有限公司,北京,海淀区,数据分析,1-3年,全职,8k-13k,,150-500人,成长型(不需要融资),移动互联网,"六险一金,免费水果,硅谷式办公,团队氛围佳","广告营销,SPSS","广告营销,SPSS","节日礼物,年度旅游,定期体检,六险一金",
﻿四川文轩在线电子商务有限公司,成都,金牛区,数据分析师,1-3年,全职,6k-10k,,150-500人,成长型(不需要融资),电子商务,"知名电商,数据分析","商业,业务运营",,"节日礼物,园林式办公,带薪年假,绩效奖金",
﻿长沙辰运软件有限公司,长沙,岳麓区,大数据分析师,1-3年,全职,4k-8k,,150-500人,成长型(不需要融资),移动互联网,"五险一金,年底双薪,交通补贴,中餐补贴",,,"年底双薪,技能培训,绩效奖金,年度旅游",
﻿北京最印象科技有限公司,北京,顺义区,数据分析师/数据挖掘工程师,1-3年,全职,8k-15k,,15-50人,上市公司,"移动互联网,电子商务","五险一金,餐补,绩效奖励,带薪年假","建模,SPSS",,,
﻿凡普金科企业发展（上海）有限公司,北京,东城区,数据分析师,3-5年,全职,20k-30k,,2000人以上,成熟型(不需要融资),金融,"六险一金,7000人,A轮5k万,行业风口",高级,,"年底双薪,节日礼物,技能培训,带薪年假",
﻿上海流利说信息技术有限公司,上海,杨浦区,资深数据分析师,3-5年,全职,18k-36k,,500-2000人,成熟型(C轮),"移动互联网,教育","独角兽,硅谷风,海量数据","高级,大数据,数据挖掘",,"弹性工作,五险一金,年度旅游,年底双薪",
﻿拉扎斯网络科技（上海）有限公司,上海,普陀区,数据分析师,1-3年,全职,15k-30k,,2000人以上,成熟型(D轮及以上),移动互联网,团队氛围好，发展空间大，平台大,"资深,高级,大数据,数据挖掘,SPSS",,"节日礼物,绩效奖金,年度旅游,岗位晋升",
﻿浙江每日互动网络科技股份有限公司,上海,静安区,数据分析师,3-5年,全职,20k-25k,,150-500人,成熟型(D轮及以上),移动互联网,平台 带薪年假 五险一金 餐补,企业服务,企业服务,"绩效奖金,股票期权,年底双薪,专项奖金",
﻿京东金融,北京,通州区,数据分析,3-5年,全职,15k-30k,,2000人以上,上市公司,金融,餐补+年终奖+良好的晋升空间,"支付,数据挖掘","支付,数据挖掘","供应链金融,消费金融,众筹业务,支付业务",
﻿善林（上海）金融信息服务有限公司,上海,浦东新区,数据分析,3-5年,全职,10k-20k,,2000人以上,成熟型(不需要融资),金融,晋升空间 发展平台 公司前景 福利待遇,"金融,主管,经理,数字营销,SPSS","金融,主管,经理,数字营销,SPSS","带薪年假,绩效奖金,岗位晋升,帅哥多",
